lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
-11.377481,-17.334085,-17.496256,1.467694,7.602818,-1.402,-5.943312,18.741051,-4.567094,-3.223975,57.264393,0.0,0.0,-127.069016,33.234112,10.926639,-9.628508,8.572642,9.688349,4.583158,
-11.970991,-16.693394,-17.473524,1.463185,7.583644,-1.35006,-6.04891,18.701391,-4.575613,-3.167077,57.555168,0.0,0.0,-127.138817,33.203888,10.929373,-9.607823,8.546672,9.678486,4.558317,
-12.577126,-16.040035,-17.445433,1.451001,7.566669,-1.296107,-6.15644,18.653133,-4.583574,-3.110677,57.861652,0.0,0.0,-127.21125,33.172604,10.930274,-9.584524,8.510992,9.661635,4.523869,
-13.194845,-15.375601,-17.411844,1.430815,7.551973,-1.240105,-6.265847,18.596218,-4.591022,-3.054795,58.183491,0.0,0.0,-127.285789,33.140381,10.929482,-9.558599,8.465257,9.63766,4.479393,
-13.822999,-14.701838,-17.372696,1.40234,7.539694,-1.181954,-6.377108,18.530611,-4.597968,-2.999428,58.520233,0.0,0.0,-127.361946,33.107368,10.927183,-9.530048,8.409067,9.606444,4.424455,
-14.460351,-14.020418,-17.327866,1.365221,7.529894,-1.12168,-6.490151,18.456303,-4.604446,-2.944587,58.871422,0.0,0.0,-127.43924,33.073719,10.923587,-9.498862,8.342089,9.567909,4.35866,
-15.105653,-13.332966,-17.277323,1.319256,7.52268,-1.059159,-6.604932,18.373302,-4.610482,-2.890268,59.23653,0.0,0.0,-127.517036,33.039619,10.919018,-9.465033,8.263996,9.522003,4.281637,
-15.757567,-12.641185,-17.22102,1.264169,7.518123,-0.99437,-6.721392,18.281637,-4.616112,-2.836479,59.615044,0.0,0.0,-127.594833,33.005222,10.913656,-9.428534,8.17449,9.46871,4.193027,
-16.414762,-11.94661,-17.158945,1.19976,7.516292,-0.927258,-6.839443,18.18137,-4.621361,-2.783213,60.006401,0.0,0.0,-127.672012,32.970741,10.907866,-9.389349,8.073296,9.408047,4.092514,
-17.075788,-11.250844,-17.091127,1.125892,7.517275,-0.857737,-6.958998,18.072596,-4.62627,-2.730473,60.410004,0.0,0.0,-127.748047,32.936359,10.90195,-9.347481,7.960188,9.340054,3.979818,
-17.739264,-10.555428,-17.017605,1.042319,7.521126,-0.785848,-7.079997,17.955412,-4.630881,-2.678247,60.825306,0.0,0.0,-127.822357,32.902275,10.896232,-9.302887,7.834969,9.264829,3.854682,
